Country,Female_STEM_Graduates_Percentage,University,Longitude,Latitude,Estimated_Student_Count
Israel,29.23401,Technion - Israel Institute of Technology,35.023129,32.776778,30814
Israel,29.23401,Hebrew University of Jerusalem,35.213711,31.768318,38453
Israel,29.23401,Tel Aviv University,34.804389,32.113314,15344
Israel,29.23401,Weizmann Institute of Science,34.813778,31.906492,39364
Israel,29.23401,Bar-Ilan University,34.842239,32.068424,17921
Samoa,18.18182,National University of Samoa,-171.7765,-13.8291,38070
Liberia,57.54509,University of Liberia,-10.760523,6.287604,23097
Liberia,57.54509,Cuttington University,-9.482249,6.841924,29899
Liberia,57.54509,Stella Maris Polytechnic,-10.765945,6.287708,49923
Sierra Leone,58.97436,Fourah Bay College,-13.233056,8.483889,41901
Sierra Leone,58.97436,Njala University,-12.794707,8.106311,31696
Sierra Leone,58.97436,University of Makeni,-12.2926,9.3053,15882
Comoros,0.0,University of Comoros,43.2551,-11.689,38165
Comoros,0.0,Comoros Higher Institute of Technology,43.2551,-11.689,18634
Comoros,0.0,Higher Institute of Management and International Trade,43.2551,-11.689,25809
Chad,4.08163,University of N'Djamena,15.0559,12.1229,18049
Chad,4.08163,King Faisal University in Chad,15.0399,12.1067,28415
Venezuela,42.80571,Central University of Venezuela,-66.8904,10.490847,42189
Venezuela,42.80571,Simón Bolívar University,-66.879833,10.403292,49582
Venezuela,42.80571,University of the Andes,-71.114503,8.418899,8025
Iraq,18.52159,University of Baghdad,44.373293,33.273524,3344
Iraq,18.52159,University of Basrah,47.776308,30.514793,33550
Iraq,18.52159,University of Mosul,43.141519,36.366206,33418
Iraq,18.52159,University of Kufa,44.374894,32.046265,21186
Saint Vincent and the Grenadines,0.0,Saint Vincent and the Grenadines Community College,-61.21,13.1445,1506
Uganda,25.68259,Makerere University,32.5711,0.3292,13042
Uganda,25.68259,Kyambogo University,32.6332,0.3571,23602
Uganda,25.68259,Mbarara University of Science and Technology,30.6575,-0.6135,43083
Hong Kong,25.32672,The University of Hong Kong,114.1374,22.2849,23962
Hong Kong,25.32672,The Chinese University of Hong Kong,114.2077,22.4191,7365
Hong Kong,25.32672,The Hong Kong University of Science and Technology,114.2656,22.3364,10469
American Samoa,18.18182,American Samoa Community College,-170.702,-14.271,36213
Jordan,40.27633,University of Jordan,35.8722,32.0134,36990
Jordan,40.27633,Jordan University of Science and Technology,35.991,32.4962,9722
Jordan,40.27633,Yarmouk University,35.8562,32.5378,36253
Solomon Islands,0.0,Solomon Islands National University,160.0545,-9.4318,20013
Cayman Islands,32.91139,University College of the Cayman Islands,-81.3674,19.2866,18204
Sao Tome and Principe,0.0,University of São Tomé and Príncipe,6.7333,0.3365,23055
Tuvalu,0.0,University of the South Pacific,178.4419,-18.1426,31093
Nauru,0.0,University of the South Pacific Nauru Campus,166.916,-0.5351,44965
British Virgin Islands,56.41026,H. Lavity Stoutt Community College,-64.6235,18.43,1823
Ethiopia,17.32012,Addis Ababa University,38.7613,9.038,2218
Ethiopia,17.32012,Jimma University,36.8333,7.6667,19495
Ethiopia,17.32012,Mekelle University,39.4753,13.4967,15492
Gibraltar,0.0,University of Gibraltar,-5.3526,36.1447,24774
Argentina,43.46254,University of Buenos Aires,-58.373056,-34.599722,22848
Argentina,43.46254,National University of La Plata,-57.954491,-34.921456,36783
Argentina,43.46254,National University of Córdoba,-64.183319,-31.417339,3330
Barbados,40.50279,University of the West Indies,-59.6236,13.1325,33491
Barbados,40.50279,Cave Hill Campus,-59.6236,13.1325,23836
Lebanon,43.25716,American University of Beirut,35.4789,33.8964,42406
Lebanon,43.25716,Lebanese American University,35.4785,33.896,44589
Lebanon,43.25716,Saint Joseph University,35.4944,33.8886,40138
Liechtenstein,40.67797,University of Liechtenstein,9.5215,47.141,22417
Gambia,45.65712,University of The Gambia,-16.5928,13.4576,6015
Iceland,35.23035,University of Iceland,-21.8954,64.1355,35998
Iceland,35.23035,Reykjavik University,-21.8174,64.127,49243
Kiribati,0.0,University of the South Pacific,178.4419,-18.1426,42477
Kiribati,0.0,Kiribati Campus,173.0281,-1.3186,41774
Guyana,27.20307,University of Guyana,-58.1627,6.8013,39905
Antigua and Barbuda,33.33333,University of the West Indies,-59.6236,13.1325,24721
Antigua and Barbuda,33.33333,Five Islands Campus,-61.8456,17.1175,15290
Turkey,34.68608,Middle East Technical University,32.8131,39.9019,23497
Turkey,34.68608,Bilkent University,32.7484,39.8721,3001
Turkey,34.68608,Koç University,29.0484,41.2061,41047
Sudan,47.18265,University of Khartoum,32.5254,15.6085,13296
Sudan,47.18265,Sudan University of Science and Technology,32.5537,15.5677,42896
Belize,41.83007,University of Belize,-88.1886,17.4986,15122
Belize,41.83007,Galen University,-89.041,17.1683,6714
Sint Maarten (Dutch part),75.0,American University of the Caribbean,-63.0617,18.0626,45224
Benin,54.88478,University of Abomey-Calavi,2.355,6.4483,36362
Benin,54.88478,University of Parakou,2.6095,9.3389,6765
Angola,38.41584,Agostinho Neto University,13.2894,-8.839,10668
Angola,38.41584,Catholic University of Angola,13.2332,-8.8356,46289
Zimbabwe,28.79315,University of Zimbabwe,31.0507,-17.7878,27415
Zimbabwe,28.79315,National University of Science and Technology,28.6265,-20.132,4288
Zimbabwe,28.79315,Midlands State University,29.8059,-19.4592,25529
North Korea,19.26917,Kim Il-sung University,125.7543,39.0338,44719
North Korea,19.26917,Kim Chaek University of Technology,125.763,39.0382,23312
Eswatini,0.0,University of Eswatini,31.4628,-26.529,30670
Guatemala,34.6914,University of San Carlos of Guatemala,-90.5199,14.609,1809
Guatemala,34.6914,Universidad del Valle de Guatemala,-90.5153,14.6014,3555
Cambodia,16.67996,Royal University of Phnom Penh,104.915,11.5679,27255
